"comparison","gene_id"
"1dpa_vs_0dpa","ENSDARG00000020887"
"1dpa_vs_0dpa","ENSDARG00000020924"
"1dpa_vs_0dpa","ENSDARG00000020976"
"1dpa_vs_0dpa","ENSDARG00000020979"
"1dpa_vs_0dpa","ENSDARG00000021112"
"1dpa_vs_0dpa","ENSDARG00000021113"
"1dpa_vs_0dpa","ENSDARG00000021124"
"1dpa_vs_0dpa","ENSDARG00000021143"
"1dpa_vs_0dpa","ENSDARG00000021149"
"1dpa_vs_0dpa","ENSDARG00000021177"
"1dpa_vs_0dpa","ENSDARG00000021287"
"1dpa_vs_0dpa","ENSDARG00000021288"
"1dpa_vs_0dpa","ENSDARG00000021339"
"1dpa_vs_0dpa","ENSDARG00000021366"
"1dpa_vs_0dpa","ENSDARG00000021372"
"1dpa_vs_0dpa","ENSDARG00000021378"
"1dpa_vs_0dpa","ENSDARG00000021582"
"1dpa_vs_0dpa","ENSDARG00000021753"
"1dpa_vs_0dpa","ENSDARG00000021787"
"1dpa_vs_0dpa","ENSDARG00000021806"
"1dpa_vs_0dpa","ENSDARG00000021948"
"1dpa_vs_0dpa","ENSDARG00000021984"
"1dpa_vs_0dpa","ENSDARG00000021996"
"1dpa_vs_0dpa","ENSDARG00000022129"
"1dpa_vs_0dpa","ENSDARG00000022165"
"1dpa_vs_0dpa","ENSDARG00000022183"
"1dpa_vs_0dpa","ENSDARG00000022303"
"1dpa_vs_0dpa","ENSDARG00000022309"
"1dpa_vs_0dpa","ENSDARG00000022340"
"1dpa_vs_0dpa","ENSDARG00000022437"
"1dpa_vs_0dpa","ENSDARG00000022509"
"1dpa_vs_0dpa","ENSDARG00000022615"
"1dpa_vs_0dpa","ENSDARG00000022689"
"1dpa_vs_0dpa","ENSDARG00000022698"
"1dpa_vs_0dpa","ENSDARG00000022712"
"1dpa_vs_0dpa","ENSDARG00000022983"
"1dpa_vs_0dpa","ENSDARG00000022995"
"1dpa_vs_0dpa","ENSDARG00000023002"
"1dpa_vs_0dpa","ENSDARG00000023026"
