"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSDARG00000086150",67.0037200465885,-0.417291000712719,0.537560607703096,-0.776267819354792,0.437590869789263,0.701342708882399,"wrap53"
"ENSDARG00000086162",60.605751938615,0.945545950144505,0.589680903485561,1.60348748714,0.108827069513857,0.33030158638654,NA
"ENSDARG00000086173",119.775129308396,0.130447325616101,0.521317161561523,0.250226417302985,0.802412256886857,0.924284541192619,"relb"
"ENSDARG00000086184",34.995592912719,-0.530201524064587,0.699691118893039,-0.75776511913343,0.448591607356328,0.710493910540582,"fbxo48"
"ENSDARG00000086189",971.77346115145,0.332278306395289,0.577662545224966,0.575211789550741,0.565148070343415,0.790745324581317,"mgp"
"ENSDARG00000086215",25.0422852815975,-1.15094085294239,0.732184119420152,-1.57192818365668,0.115967207460586,0.342615221687604,"gpr156"
"ENSDARG00000086216",414.136313261844,-0.30786654478744,0.542804987273005,-0.567177074650933,0.570593882010299,0.794203390191775,"prr13"
"ENSDARG00000086228",33.8049572096996,0.0636463380839391,0.741274637951426,0.0858606713698328,0.931577175712687,0.978636153351176,"si:dkey-120c6.5"
"ENSDARG00000086254",26.7846126324595,-0.720894125212852,0.762540391056517,-0.945384839502124,0.344462439243381,0.625618014737911,"hhla2b.2"
"ENSDARG00000086256",24.6800760032845,0.64968285921705,0.70165900260797,0.92592392715303,0.354485515681001,0.634925693568157,"si:ch211-236p5.2"
"ENSDARG00000086261",79.9215081592708,-0.393709747648032,0.636139411421194,-0.618904819571622,0.535979063306043,0.772603808486178,"fhdc4"
"ENSDARG00000086269",67.3416043405471,1.33413494337455,0.505615006484289,2.63863794836952,0.00832398263062348,0.0770415350251551,"ndst2a"
"ENSDARG00000086272",31.3743463263579,-1.24094886155131,0.823916283285939,-1.50615892260578,0.132026381572998,0.36931616669494,"si:dkey-4p15.5"
"ENSDARG00000086302",59.8334814008426,0.429781188779958,0.626819343680061,0.685653997620286,0.492931322126988,0.744457680288652,"proser1"
"ENSDARG00000086309",89.6734576866757,-0.92076496600265,0.519803119995824,-1.77137252660209,0.0764987740763154,0.273303487474682,"erlec1"
"ENSDARG00000086317",147.365489390853,-0.454505300548571,0.472083810851083,-0.962764005249785,0.33566596810418,0.618097505982651,"si:ch211-67e16.4"
"ENSDARG00000086324",30.2255951429664,-0.546073715535848,0.814382343601422,-0.67053727260461,0.502515354379407,0.750866798976025,"si:dkey-274m17.3"
"ENSDARG00000086327",74.5061967990946,0.281519224031533,0.506109927265778,0.556241260771983,0.578045936182483,0.79899553184449,"srrm4"
"ENSDARG00000086332",111.863267574028,0.887249493815678,0.486809701658147,1.82257972836937,0.0683670682124752,0.25772284230717,"bri3"
"ENSDARG00000086336",20.7485679867773,-0.443981269395106,0.807950531561699,-0.549515412208379,0.582651790670871,0.802227491768179,"si:ch211-157b11.12"
